# family|phase|serial_name|owner_source
# Keep one row per roadmap/specification phase.  The source column is the
# first source-level publication boundary for that phase; later substeps may
# publish from additional Owners, but this row is the debugger entry point.
SPEC|0|SPEC_P0_REPOSITORY|kernel/init/early.c
SPEC|1|SPEC_P1_CPU|kernel/init/early.c
SPEC|2|SPEC_P2_MEMORY|kernel/init/memory.c
SPEC|3|SPEC_P3_SLAB|kernel/init/core.c
SPEC|4|SPEC_P4_SMP|kernel/init/scheduler.c
SPEC|5|SPEC_P5_SCHEDULER|kernel/init/scheduler.c
SPEC|6|SPEC_P6_VM|kernel/init/scheduler.c
SPEC|7|SPEC_P7_SYSCALL|kernel/init/graphics.c
SPEC|8|SPEC_P8_OBJECT|kernel/init/self_tests.c
SPEC|9|SPEC_P9_DEVICE|kernel/init/self_tests.c
SPEC|10|SPEC_P10_STORAGE|kernel/init/filesystem.c
SPEC|11|SPEC_P11_USB|kernel/init/devices.c
SPEC|12|SPEC_P12_NETWORK|kernel/init/network.c
SPEC|13|SPEC_P13_GPU|kernel/init/runtime.c
SPEC|14|SPEC_P14_WINDOW|kernel/init/graphics.c
SPEC|15|SPEC_P15_AUDIO_BT|kernel/init/self_tests.c
SPEC|16|SPEC_P16_SERVICES|kernel/init/self_tests.c
SPEC|17|SPEC_P17_POWER|kernel/init/early.c
SPEC|18|SPEC_P18_HARDENING|kernel/init/self_tests.c
SPEC|19|SPEC_P19_ABI|kernel/init/userspace.c
SPEC|20|SPEC_P20_OS1|kernel/init/userspace.c
REFACTOR|0|REFACTOR_P0_BASELINE|kernel/init/early.c
REFACTOR|1|REFACTOR_P1_HEADERS|kernel/init/early.c
REFACTOR|2|REFACTOR_P2_PRIMITIVES|kernel/init/memory.c
REFACTOR|3|REFACTOR_P3_BOOT|kernel/init/early.c
REFACTOR|4|REFACTOR_P4_SCHEDULER|kernel/init/scheduler.c
REFACTOR|5|REFACTOR_P5_PROCESS|kernel/init/userspace.c
REFACTOR|6|REFACTOR_P6_MM|kernel/init/scheduler.c
REFACTOR|7A|REFACTOR_P7A_GRAPHICS|kernel/init/graphics.c
REFACTOR|7B|REFACTOR_P7B_COMPOSITOR|kernel/init/graphics.c
REFACTOR|8|REFACTOR_P8_DRIVERS|kernel/init/devices.c
REFACTOR|9|REFACTOR_P9_CLEANUP|kernel/init/early.c
